Vendedor Provincia;Vendedor Departamento;Producto;Variedad;Volumen (litros);Fecha;Precio;Forma de Pago
MENDOZA                       ;SAN RAFAEL                    ;VINO VARIETAL TINTO                                         ;ASPIRANT BOUSCHET-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;46281;2022-04-28;80;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;167719;2022-04-28;80;CONTADO                       
SAN JUAN                      ;SARMIENTO                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;210000;2022-04-28;55;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;14277;2022-04-28;50;CONTADO                       
SAN JUAN                      ;CAPITAL                       ;VINO TINTO                                                  ;-- -  - ;500000;2022-04-28;80;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;10000;2022-04-28;50;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;42600;2022-04-28;35;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;63600;2022-04-28;55;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;22966;2022-04-28;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;31752;2022-04-28;50;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;70760;2022-04-28;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;63640;2022-04-28;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;7120;2022-04-28;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;7475;2022-04-28;50;CONTADO                       
MENDOZA                       ;SAN RAFAEL                    ;VINO BLANCO                                                 ;-- -  - ;27700;2022-04-28;40;DIFERIDO                      
MENDOZA                       ;LAVALLE                       ;VINO VARIETAL TINTO                                         ;MALBEC-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;68193;2022-04-28;104;CONTADO                       
MENDOZA                       ;LAVALLE                       ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;31807;2022-04-28;104;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;22966;2022-04-28;40;CONTADO                       
SAN JUAN                      ;VEINTICINCO DE MAYO           ;VINO TINTO                                                  ;-- -  - ;46857;2022-04-28;65;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;4700;2022-04-27;125;CONTADO                       
LA RIOJA                      ;CHILECITO                     ;VINO VARIETAL BLANCO                                        ;TORRONTES RIOJANO-- -  - ;132000;2022-04-27;90;CONTADO                       
MENDOZA                       ;TUNUYAN                       ;VINO TINTO                                                  ;-- -  - ;3096;2022-04-27;87;CONTADO                       
MENDOZA                       ;TUPUNGATO                     ;VINO VARIETAL TINTO                                         ;PINOT NEGRO-- -  - ;3850;2022-04-27;70;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;2549;2022-04-27;35;DIFERIDO                      
LA RIOJA                      ;CHILECITO                     ;VINO VARIETAL BLANCO                                        ;TORRONTES RIOJANO-- -  - ;300000;2022-04-27;90;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;MOSTO CONCENTRADO RECTIFICADO BLANCO                        ;-- -  - ;1115;2022-04-27;314;CONTADO                       
SALTA                         ;CAFAYATE                      ;MOSTO CONCENTRADO RECTIFICADO BLANCO                        ;-- -  - ;223;2022-04-27;314;DIFERIDO                      
MENDOZA                       ;SAN RAFAEL                    ;VINO TINTO                                                  ;-- -  - ;2688;2022-04-27;53,33;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO BLANCO                                                 ;-- -  - ;200000;2022-04-27;62;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;100000;2022-04-27;60;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;20168;2022-04-27;110;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;VINO VARIETAL TINTO                                         ;CABERNET SAUVIGNON-OTRAS VARIED TINTAS P/VINIF.- - OTRAS VARIED TINTAS P/VINIF.   - ;10832;2022-04-27;110;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;MOSTO CONCENTRADO BLANCO                                    ;-- -  - ;8120;2022-04-27;170;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;2000;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;CABERNET FRANC-- -  - ;900;2022-04-27;20;CONTADO                       
MENDOZA                       ;JUNIN                         ;VINO TINTO                                                  ;-- -  - ;150000;2022-04-27;72;DIFERIDO                      
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;450000;2022-04-27;42,84;DIFERIDO                      
MENDOZA                       ;LAS HERAS                     ;VINO BLANCO                                                 ;-- -  - ;30500;2022-04-27;60;CONTADO                       
MENDOZA                       ;LAS HERAS                     ;VINO BLANCO                                                 ;-- -  - ;21900;2022-04-27;60;CONTADO                       
SAN JUAN                      ;ALBARDON                      ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;100000;2022-04-27;50;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO BLANCO                                                 ;-- -  - ;50000;2022-04-27;60,49;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;68120;2022-04-27;66;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;181880;2022-04-27;66;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;250000;2022-04-27;66;CONTADO                       
SAN JUAN                      ;POCITO                        ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;250000;2022-04-27;40;CONTADO                       
MENDOZA                       ;SAN MARTIN                    ;VINO VARIETAL TINTO                                         ;SYRAH  (SHIRAZ-SIRAH)-OTRAS VAR.BLANCAS P/VINIFICAR- - OTRAS VAR.BLANCAS P/VINIFICAR  - ;500000;2022-04-27;65,18;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO VARIETAL TINTO                                         ;TEMPRANILLO-OTRAS VAR.BLANCAS P/VINIFICAR- - OTRAS VAR.BLANCAS P/VINIFICAR  - ;150000;2022-04-27;65,18;DIFERIDO                      
MENDOZA                       ;SAN MARTIN                    ;VINO VARIETAL TINTO                                         ;SYRAH  (SHIRAZ-SIRAH)-OTRAS VAR.BLANCAS P/VINIFICAR- - OTRAS VAR.BLANCAS P/VINIFICAR  - ;330000;2022-04-27;65,18;DIFERIDO                      
SAN JUAN                      ;ANGACO                        ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;34410;2022-04-27;47,5;CONTADO                       
SAN JUAN                      ;CAPITAL                       ;VINO TINTO                                                  ;-- -  - ;2952;2022-04-27;75;CONTADO                       
SAN JUAN                      ;CAPITAL                       ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;19708;2022-04-27;55;CONTADO                       
MENDOZA                       ;MAIPU                         ;VINO TINTO                                                  ;-- -  - ;75000;2022-04-27;105;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO BLANCO                                                 ;-- -  - ;50000;2022-04-27;88,69;CONTADO                       
MENDOZA                       ;GUAYMALLEN                    ;VINO VARIETAL TINTO                                         ;BONARDA-OTRAS VAR.BLANCAS P/VINIFICAR- - OTRAS VAR.BLANCAS P/VINIFICAR  - ;190000;2022-04-27;69,7;CONTADO                       
MENDOZA                       ;RIVADAVIA                     ;MOSTO SULFITADO BLANCO                                      ;-- -  - ;43000;2022-04-27;53;DIFERIDO                      
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;176;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;184;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;1151;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;2671;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;1757;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;33;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;547;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO VARIETAL TINTO                                         ;MALBEC-- -  - ;197;2022-04-27;20;CONTADO                       
MENDOZA                       ;LUJAN DE CUYO                 ;VINO TINTO                                                  ;-- -  - ;81400;2022-04-26;80;CONTADO                       
SAN JUAN                      ;SAN MARTIN                    ;VINO BLANCO                                                 ;-- -  - ;7906;2022-04-26;65;DIFERIDO                      
SAN JUAN                      ;SAN MARTIN                    ;VINO TINTO                                                  ;-- -  - ;17653;2022-04-26;100;DIFERIDO                      
